di_1D2D[0],di_1D2D[1],di_1Dur[0],di_1Dur[1],di_1KeyLat[0],di_1KeyLat[1],di_2Dur[0],di_2Dur[1],di_Dur[0],di_Dur[1],di_NumEvents[0],di_NumEvents[1],tri_1D2D[0],tri_1D2D[1],tri_1Dur[0],tri_1Dur[1],tri_1KeyLat[0],tri_1KeyLat[1],tri_2D3D[0],tri_2D3D[1],tri_2Dur[0],tri_2Dur[1],tri_2KeyLat[0],tri_2KeyLat[1],tri_3Dur[0],tri_3Dur[1],tri_Dur[0],tri_Dur[1],tri_NumEvents[0],tri_NumEvents[1],SPACE,BCKSPACE,DEL,UP,DOWN,LEFT,RIGHT,SHIFT_L,SHIFT_R,L_di_1D2D[0],L_di_1D2D[1],L_di_Dur[0],L_di_Dur[1],L_first_shift_up,R_di_1D2D[0],R_di_1D2D[1],R_di_Dur[0],R_di_Dur[1],R_first_shift_up,CAPS,SPEED
0.190969,0.23237,0.106146,0.107076,0.0848225,0.233238,0.104825,0.101879,0.295794,0.262384,4.37659,0.832846,0.191268,0.232778,0.106138,0.107196,0.0851309,0.233624,0.189935,0.231241,0.104873,0.102068,0.0850623,0.233268,0.10494,0.102066,0.486144,0.368277,6.37811,0.834178,0.1006,0.175217,0.0,0.0,0.0,0.00266489,0.0,0.0173218,0.0,0.426217,0.461097,0.558175,0.556343,0.208333,0.0,0.0,0.0,0.0,0.0,0.0216509,5.24724
0.19671,0.261687,0.10024,0.0863455,0.0964696,0.257587,0.0987501,0.082536,0.29546,0.274299,4.3737,0.7305,0.197005,0.262969,0.100325,0.0865931,0.0966803,0.258847,0.19584,0.261022,0.099001,0.0829338,0.0968387,0.257906,0.0988536,0.0829366,0.491699,0.388452,6.3752,0.730863,0.112429,0.0675606,0.0,0.0,0.0,0.0,0.0,0.0,0.0165034,0.0,0.0,0.0,0.0,0.0,0.326474,0.39289,0.409968,0.389378,0.366667,0.0253165,5.05625
0.213393,0.312385,0.0944152,0.0884805,0.118978,0.301442,0.0925828,0.083167,0.305976,0.327814,4.33729,0.645558,0.213967,0.313598,0.0946264,0.088819,0.11934,0.30265,0.212986,0.311898,0.0926965,0.0835112,0.120289,0.302192,0.0925321,0.0834271,0.519484,0.468625,6.33846,0.64713,0.097479,0.0840336,0.0,0.0,0.0,0.0,0.0,0.0,0.0117647,0.0,0.0,0.0,0.0,0.0,0.427095,0.486025,0.494775,0.484314,0.428571,0.0183486,4.71107
0.189308,0.240196,0.0986891,0.103241,0.0906189,0.225237,0.0982605,0.102811,0.287568,0.259102,4.34016,0.636223,0.189339,0.240686,0.0988178,0.103432,0.0905214,0.225693,0.189345,0.240666,0.098387,0.102995,0.0909578,0.225579,0.0983863,0.102996,0.47707,0.354531,6.34156,0.637156,0.132653,0.0653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0163265,0.0,0.0,0.0,0.0,0.0,0.42553,0.544241,0.519872,0.535399,0.375,0.026616,5.2963
0.165487,0.172435,0.107101,0.0812297,0.0583859,0.181133,0.106524,0.080796,0.272011,0.183579,4.47354,0.922481,0.165143,0.172553,0.10722,0.081312,0.0579235,0.181174,0.165301,0.17264,0.106642,0.0808774,0.0586589,0.181312,0.10662,0.080888,0.437065,0.255247,6.47486,0.923428,0.119444,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0138889,0.0,0.0,0.0,0.0,0.0,0.262281,0.133608,0.351687,0.139571,0.2,0.0255102,6.05308
0.186202,0.22023,0.104076,0.0667112,0.082126,0.228045,0.101107,0.0539583,0.287309,0.22424,4.39252,0.767409,0.18633,0.22156,0.104249,0.0670619,0.0820809,0.229618,0.182027,0.214681,0.101329,0.0542939,0.0806981,0.22585,0.101251,0.0543127,0.469609,0.329132,6.38717,0.761126,0.110345,0.0689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0183908,0.0,0.0,0.0,0.0,0.0,0.206819,0.161832,0.290712,0.162711,0.375,0.025974,5.4166
0.178159,0.241054,0.110152,0.063471,0.068007,0.244402,0.109786,0.0632886,0.287945,0.251716,4.48927,0.734564,0.177447,0.241257,0.110243,0.0638237,0.0672038,0.244596,0.178609,0.242489,0.109929,0.0636401,0.0686794,0.245729,0.109951,0.063664,0.466006,0.367483,6.49565,0.737413,0.114754,0.0692755,0.0,0.0,0.0,0.000528821,0.000528821,0.0,0.0100476,0.0,0.0,0.0,0.0,0.0,0.152461,0.128657,0.257692,0.130809,0.888889,0.0145631,5.64563
0.180036,0.246702,0.11088,0.0575773,0.069156,0.250241,0.110744,0.0575033,0.29078,0.255853,4.46032,0.722658,0.177477,0.243206,0.110941,0.0577852,0.0665354,0.246699,0.180616,0.247578,0.110739,0.0576865,0.0698772,0.251045,0.11079,0.0577282,0.468883,0.378537,6.462,0.724262,0.127953,0.0492126,0.0,0.0,0.0,0.0,0.0,0.0,0.00787402,0.0,0.0,0.0,0.0,0.0,0.122409,0.0382223,0.226848,0.0296829,1.0,0.0134228,5.57117
0.16274,0.201059,0.111856,0.0795375,0.0508848,0.198235,0.11172,0.0795832,0.27446,0.227296,4.50351,0.711427,0.162964,0.201725,0.112002,0.0797637,0.0509621,0.198864,0.162558,0.201369,0.111833,0.0797756,0.0507249,0.198424,0.11195,0.0798107,0.437473,0.321823,6.50707,0.712671,0.114983,0.102787,0.0,0.0,0.0,0.00174216,0.0,0.0,0.00522648,0.0,0.0,0.0,0.0,0.0,0.189253,0.135593,0.287711,0.130467,1.0,0.00961538,6.16245
0.180019,0.232644,0.109338,0.0497392,0.0706811,0.242501,0.10912,0.0499515,0.289139,0.233441,4.55348,0.815017,0.180911,0.234053,0.109296,0.0498616,0.0716145,0.243996,0.181104,0.233815,0.108557,0.04892,0.0725464,0.24347,0.109136,0.0502031,0.47115,0.357203,6.56098,0.817952,0.113158,0.0473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0184211,0.0,0.0,0.0,0.0,0.0,0.0978002,0.0844939,0.197125,0.104055,0.8,0.0145631,5.55967
